Category,Prop._SNPs,Prop._h2,Enrichment,Enrichment_p,Coefficient,Cluster_SLDSC,Cluster_num
CTCF_Hoffman.bedL2_0,0.025340469692189074,-0.011927893404496476,-0.6159307435749675,0.49854044349139337,-1.5403539838279005e-07,sldsc_v154,154
CTCF_Hoffman.extend.500.bedL2_0,0.07524070256931667,0.08180895933262511,1.0350971345145514,0.48421172240483074,4.261578989585933e-08,sldsc_v154,154
Coding_UCSC.bedL2_0,0.015989750474149925,0.08538656922527423,5.208165571084432,0.44288149501704127,9.293076395709523e-08,sldsc_v154,154
Coding_UCSC.extend.500.bedL2_0,0.07047274473805283,0.1512389847507426,2.187876265885487,0.4742676314093339,-5.528916050419427e-08,sldsc_v154,154
Conserved_LindbladToh.bedL2_0,0.02568411716520341,0.3110987105015043,12.094115815889355,0.08444502641041612,5.944042781231038e-07,sldsc_v154,154
Conserved_LindbladToh.extend.500.bedL2_0,0.3308069573919402,0.7071210793343093,2.1361571779833706,0.054791144617599555,3.8469421507038234e-08,sldsc_v154,154
DGF_ENCODE.bedL2_0,0.14043687146115932,0.2993339916059106,2.207733374394168,0.40368058296415915,7.575971105157067e-08,sldsc_v154,154
DGF_ENCODE.extend.500.bedL2_0,0.5482775388825766,0.6375075373252233,1.1666999897086356,0.35224605365331396,-3.238908471761319e-08,sldsc_v154,154
DHS_Trynka.bedL2_0,0.1687533989060883,0.3119389450921011,1.872412178879722,0.5289229900113471,-4.6726696063375615e-08,sldsc_v154,154
DHS_Trynka.extend.500.bedL2_0,0.5021191491336977,0.7354650708134379,1.474975229116191,0.31713641131891707,4.227312494027748e-08,sldsc_v154,154
DHS_peaks_Trynka.bedL2_0,0.11264537054440811,0.17926862406010824,1.5566198267237545,0.6446673041131777,-1.422382601409371e-07,sldsc_v154,154
Enhancer_Andersson.bedL2_0,0.004670442694538236,-0.00788081429669103,-1.6013336983657318,0.41890669899809563,-2.9580011978514496e-07,sldsc_v154,154
Enhancer_Andersson.extend.500.bedL2_0,0.02043514507041183,0.017763594957933282,0.7960771432602094,0.47360540626755615,-1.3776730089990549e-08,sldsc_v154,154
Enhancer_Hoffman.bedL2_0,0.04493157127923169,0.04339216706137129,1.1012579663901798,0.5248090791140423,-9.493747646408107e-08,sldsc_v154,154
Enhancer_Hoffman.extend.500.bedL2_0,0.09646265048000256,0.12117725210664322,1.2944194254371881,0.5109932164072178,-2.5630724484331763e-08,sldsc_v154,154
FetalDHS_Trynka.bedL2_0,0.08630472356686913,0.2994401007719284,3.384651831455599,0.3924750768361406,1.574741016864342e-07,sldsc_v154,154
FetalDHS_Trynka.extend.500.bedL2_0,0.2900803217450267,0.5588201958346611,1.958197969074842,0.2672438779535589,8.497282722625159e-09,sldsc_v154,154
H3K27ac_Hnisz.bedL2_0,0.4070893541044032,0.5429829303927711,1.3342432395472512,0.25059640463232347,5.43439263306844e-09,sldsc_v154,154
H3K27ac_Hnisz.extend.500.bedL2_0,0.4385802732530907,0.5742607482487059,1.3181745815460728,0.3255453393546421,-1.1253416044586026e-08,sldsc_v154,154
H3K27ac_PGC2.bedL2_0,0.2806064917691301,0.4356385408781792,1.5587159261926793,0.36839575217289017,-3.606298181955967e-08,sldsc_v154,154
H3K27ac_PGC2.extend.500.bedL2_0,0.3491511107340045,0.5528739117519712,1.5925903787922076,0.30554436643271154,5.7042672640031566e-08,sldsc_v154,154
H3K4me1_Trynka.bedL2_0,0.4388719775440371,0.6506225555987215,1.4998603195887634,0.27263016716980976,-9.634964980138193e-09,sldsc_v154,154
H3K4me1_Trynka.extend.500.bedL2_0,0.6209626874260189,0.8001011871204685,1.2948701125749713,0.27865249283324744,-1.3485258407998427e-09,sldsc_v154,154
H3K4me1_peaks_Trynka.bedL2_0,0.17673323933007987,0.42180609805048425,2.4005377855913044,0.40311886946834874,4.945122753912373e-08,sldsc_v154,154
H3K4me3_Trynka.bedL2_0,0.14331090973753033,0.3633085170976976,2.5057513045783515,0.3907647953613918,3.329373935506624e-08,sldsc_v154,154
H3K4me3_Trynka.extend.500.bedL2_0,0.27142771453488906,0.4060782070650262,1.516324761905981,0.4115600352055211,-3.9380494800273484e-08,sldsc_v154,154
H3K4me3_peaks_Trynka.bedL2_0,0.044931534763474335,0.1843865694493016,4.65337992828646,0.40484388916238456,1.15386672540688e-07,sldsc_v154,154
H3K9ac_Trynka.bedL2_0,0.13675069231218331,0.3164891054192021,2.353483444586914,0.2978304747994783,-5.1365021742511226e-08,sldsc_v154,154
H3K9ac_Trynka.extend.500.bedL2_0,0.2489194845425615,0.45897831406793527,1.8335365562295125,0.24747022416766695,2.075622341202412e-08,sldsc_v154,154
H3K9ac_peaks_Trynka.bedL2_0,0.042520972158441764,0.22009957774622346,5.360126561272125,0.26553411165187063,2.1899472816221862e-07,sldsc_v154,154
Intron_UCSC.bedL2_0,0.3947879394954932,0.5229041807693765,1.327258665858318,0.23349558929660377,3.253845179601803e-07,sldsc_v154,154
Intron_UCSC.extend.500.bedL2_0,0.4054135335185732,0.5557079341332822,1.3715189542448714,0.14867921275249985,-3.044737836484708e-07,sldsc_v154,154
L2_1,0.14126183727819688,0.17846568740537042,1.2959210006073019,0.42046246561478906,5.0861218795884995e-09,sldsc_v154,154
PromoterFlanking_Hoffman.bedL2_0,0.008692650791795391,0.03518070380008555,3.6650612228059427,0.5450909112303748,1.1020298034933205e-07,sldsc_v154,154
PromoterFlanking_Hoffman.extend.500.bedL2_0,0.03536437842596492,0.05836695419418869,1.7426378988027311,0.42007868095476864,-5.245587707235373e-08,sldsc_v154,154
Promoter_UCSC.bedL2_0,0.03504136610394334,0.042851185218671727,1.7445259929410417,0.4348206621364048,-1.286360810185945e-07,sldsc_v154,154
Promoter_UCSC.extend.500.bedL2_0,0.04348588364847378,0.075729595745741,1.9327123436820586,0.4254944508359275,8.331358635772373e-08,sldsc_v154,154
Repressed_Hoffman.bedL2_0,0.4434413723378973,0.4086361654065962,0.8762433989841468,0.43937904220689056,2.997675533646586e-08,sldsc_v154,154
Repressed_Hoffman.extend.500.bedL2_0,0.6968627142038669,0.5744134345390022,0.8236204615651769,0.3543441819300296,-1.7111865031039327e-09,sldsc_v154,154
SuperEnhancer_Hnisz.bedL2_0,0.17978326819157694,0.24574030066435204,1.339564536524431,0.33970254463799815,-7.36023738576143e-08,sldsc_v154,154
SuperEnhancer_Hnisz.extend.500.bedL2_0,0.18322047750324758,0.2543210522988033,1.358414692481903,0.3138672969411515,5.6971351306558446e-08,sldsc_v154,154
TFBS_ENCODE.bedL2_0,0.1387828319479167,0.2815003455321572,2.044591236851055,0.41493784890590635,4.515207163718379e-08,sldsc_v154,154
TFBS_ENCODE.extend.500.bedL2_0,0.3542096710646849,0.43879263738607294,1.2568887241096325,0.5679787568489663,-2.9723619745962633e-08,sldsc_v154,154
TSS_Hoffman.bedL2_0,0.020324686667066955,0.09701303065541733,5.055851782638947,0.46583515622776556,9.969691998172293e-08,sldsc_v154,154
TSS_Hoffman.extend.500.bedL2_0,0.039162366630155876,0.1152384110351471,3.5207016348095306,0.3614361200361305,4.0887807424602585e-08,sldsc_v154,154
Transcribed_Hoffman.bedL2_0,0.3593625556155595,0.38311295313318167,1.0487814281586105,0.5455267482403522,1.3730379044200574e-08,sldsc_v154,154
Transcribed_Hoffman.extend.500.bedL2_0,0.7680621141831406,0.7851120427435805,1.0232519453977773,0.4922489287311889,1.3576608278440592e-08,sldsc_v154,154
UTR_3_UCSC.bedL2_0,0.012507297801211055,0.06188292953162087,5.128022792226756,0.40991234909940033,2.2145318001596605e-07,sldsc_v154,154
UTR_3_UCSC.extend.500.bedL2_0,0.029809597189937462,0.08196324597260582,2.617987595924926,0.3860354203681819,-2.2895897956816873e-08,sldsc_v154,154
UTR_5_UCSC.bedL2_0,0.0061434685560018,0.02325915587709332,3.3717928926577865,0.5455010057426439,-2.7703995547286168e-08,sldsc_v154,154
